what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1259560346281
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1259560346281
java.specification.name,sysinfo,,,"Java Platform API Specification",1259560346281
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1259560346281
java.specification.version,sysinfo,,,"1.6",1259560346281
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1259560346281
java.version,sysinfo,,,"1.6.0_16",1259560346281
java.vm.info,sysinfo,,,"mixed mode",1259560346281
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1259560346281
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1259560346281
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1259560346281
java.vm.specification.version,sysinfo,,,"1.0",1259560346281
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1259560346281
java.vm.version,sysinfo,,,"14.2-b01",1259560346281
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1259560346281
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1259560346343
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1259560346406
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1259560346437
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1259560346484
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1259560346484
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1259560346578
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1259560346593
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1259560346609
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1259560346640
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1259560346656
